Basement,Sale_Price,Estimate_Building,Building Square Feet,Fireplaces,Building_Square_Feet,Attic_Type,Basement_Finish,Type_of_Residence,Bathrooms
not_full,235000,207590.0,1304.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,235000,207590.0,1304.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
full,252000,223020.0,1488.0,1+,Medium,None,Unfinished,one_story,2
full,252000,200760.0,1488.0,1+,Medium,None,Unfinished,one_story,2
full,246000,192950.0,1548.0,0,Medium,None,Unfinished,one_story,2
full,246000,186190.0,1548.0,0,Medium,None,Unfinished,one_story,2
not_full,387500,273610.0,2216.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,387500,273610.0,2216.0,1+,Medium-Large,None,Unfinished,one_story,2
full,292000,170680.0,1318.0,1+,Small-Medium,None,Unfinished,one_story,2
full,292000,184040.0,1318.0,1+,Small-Medium,None,Unfinished,one_story,2
not_full,260000,201680.0,1187.0,1+,Small,None,Formal rec room,one_story,2
not_full,391000,306620.0,2248.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,401000,307310.0,2200.0,1+,Medium-Large,None,Unfinished,one_story,2
full,340000,160950.0,1186.0,0,Small,Partial,Unfinished,one_story,2
full,340000,215000.0,1186.0,0,Small,Partial,Unfinished,one_story,2
full,340000,160950.0,1186.0,0,Small,Partial,Unfinished,one_story,2
full,240000,233490.0,2011.0,1+,Medium-Large,None,Unfinished,one_story,2
full,316500,219620.0,1686.0,1+,Medium,None,Unfinished,one_story,2
full,316500,219620.0,1686.0,1+,Medium,None,Unfinished,one_story,2
not_full,175000,119840.0,1300.0,1+,Small-Medium,None,Formal rec room,one_story,1
not_full,225000,194190.0,1120.0,0,Small,None,Formal rec room,one_story,1
full,380000,262060.0,2141.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,305000,145210.0,1558.0,0,Medium,None,Formal rec room,over_one_story,2
not_full,324700,169560.0,1770.0,1+,Medium,None,Unfinished,one_story,2
full,378000,250570.0,2280.0,1+,Large,None,Unfinished,one_story,2
full,292000,256180.0,1915.0,1+,Medium-Large,None,Unfinished,one_story,2
full,415000,276900.0,2176.0,1+,Medium-Large,None,Unfinished,one_story,2
full,189900,143830.0,1065.0,0,Small,None,Unfinished,one_story,2
not_full,335000,240570.0,1196.0,1+,Small-Medium,None,Formal rec room,over_one_story,2
full,324500,215060.0,1670.0,1+,Medium,None,Unfinished,one_story,2
not_full,373000,316410.0,2439.0,1+,Large,None,Unfinished,one_story,2
full,405000,256370.0,2616.0,1+,Large,None,Unfinished,one_story,2
full,405000,268660.0,2616.0,1+,Large,None,Unfinished,one_story,2
full,326500,134640.0,1646.0,1+,Medium,None,Unfinished,one_story,2
not_full,250500,184290.0,1296.0,1+,Small-Medium,Partial,Formal rec room,over_one_story,2
not_full,250500,233000.0,1296.0,1+,Small-Medium,Partial,Formal rec room,over_one_story,2
not_full,377000,273240.0,1992.0,1+,Medium-Large,None,Unfinished,one_story,2
full,195000,134650.0,1065.0,0,Small,None,Unfinished,one_story,2
full,265000,235700.0,2188.0,0,Medium-Large,None,Unfinished,one_story,2
not_full,290000,198910.0,1232.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
full,335000,253340.0,2323.0,0,Large,None,Unfinished,one_story,2
full,250000,191300.0,1510.0,1+,Medium,None,Unfinished,one_story,1
full,565000,378190.0,3070.0,1+,Large,None,Unfinished,one_story,3+
full,250000,199680.0,1386.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,335000,294090.0,2292.0,1+,Large,None,Formal rec room,one_story,2
full,255000,170410.0,1188.0,1+,Small,None,Unfinished,one_story,1
full,149000,91380.0,1250.0,0,Small-Medium,None,Unfinished,one_story,1
