Basement,Full Baths,Other Improvements,Basement Finish,Sale Price,Type of Residence,Attic Type,Estimate (Building),Building Square Feet,property_city,Fireplaces
,,,,165900,,,52180.0,,SCHAUMBURG,
,1.0,,,175000,,,105080.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,235000,4.0,3.0,207590.0,1304.0,SCHAUMBURG,1.0
3.0,1.0,0.0,1.0,235000,4.0,3.0,207590.0,1304.0,SCHAUMBURG,1.0
,,,,170000,,,59280.0,,SCHAUMBURG,
,,,,225000,,,99490.0,,SCHAUMBURG,
,,,,225000,,,74700.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,252000,2.0,3.0,223020.0,1488.0,SCHAUMBURG,1.0
2.0,2.0,0.0,3.0,252000,2.0,3.0,200760.0,1488.0,SCHAUMBURG,1.0
2.0,2.0,0.0,3.0,246000,1.0,3.0,192950.0,1548.0,SCHAUMBURG,0.0
2.0,2.0,0.0,3.0,246000,1.0,3.0,186190.0,1548.0,SCHAUMBURG,0.0
,1.0,,,119440,,,53010.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,445000,3.0,3.0,444230.0,2400.0,SCHAUMBURG,0.0
2.0,2.0,0.0,3.0,445000,3.0,3.0,0.0,2400.0,SCHAUMBURG,0.0
,1.0,,,115000,,,67520.0,,SCHAUMBURG,
,1.0,,,103000,,,59380.0,,SCHAUMBURG,
4.0,2.0,0.0,3.0,387500,2.0,3.0,273610.0,2216.0,SCHAUMBURG,1.0
4.0,2.0,0.0,3.0,387500,2.0,3.0,273610.0,2216.0,SCHAUMBURG,1.0
2.0,2.0,0.0,3.0,292000,1.0,3.0,170680.0,1318.0,SCHAUMBURG,1.0
2.0,2.0,0.0,3.0,292000,1.0,3.0,184040.0,1318.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,260000,1.0,3.0,201680.0,1187.0,SCHAUMBURG,1.0
3.0,2.0,0.0,3.0,391000,2.0,3.0,306620.0,2248.0,SCHAUMBURG,1.0
,1.0,,,194900,,,109140.0,,SCHAUMBURG,
,1.0,,,194900,,,109140.0,,SCHAUMBURG,
,1.0,,,153000,,,96370.0,,SCHAUMBURG,
,1.0,,,153000,,,96370.0,,SCHAUMBURG,
,,,,152000,,,96370.0,,SCHAUMBURG,
,,,,152000,,,96370.0,,SCHAUMBURG,
,,,,145000,,,96390.0,,SCHAUMBURG,
,,,,145000,,,92900.0,,SCHAUMBURG,
3.0,2.0,0.0,3.0,401000,2.0,3.0,307310.0,2200.0,SCHAUMBURG,2.0
,,,,114000,,,59510.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,340000,1.0,2.0,160950.0,1186.0,SCHAUMBURG,0.0
2.0,2.0,0.0,3.0,340000,1.0,2.0,215000.0,1186.0,SCHAUMBURG,0.0
