property_city,Estimate (Land),Estimate (Building),Type of Residence,Rooms,Bedrooms,Central Heating,Central Air,Fireplaces,Building Square Feet,Sale Price,Full Baths,Garage 1 Size,Age,Garage indicator,Tax Year,Basement,Basement Finish,Near Major Road,Construction Quality,Renovation,Repair Condition,Neighborhood Code,Roof Material,Other Heating,Attic Type,Attic Finish,Cathedral Ceiling,Site Desireability,Porch,Other Improvements,Large Lot
HOFFMAN ESTATES,63820,162310,1,6,3,1,1,0,1066,246000,1,3,56,1,2018,3,1,0,2,NA,2,170,1,5,3,NA,2,2,1,569,0
GLENVIEW,57720,194590,1,5,3,1,0,0,1018,449000,1,1,63,1,2018,4,3,0,2,NA,2,11,1,5,2,3,2,2,3,0,0
GLENVIEW,46620,95290,1,5,3,1,0,0,1018,449000,1,1,63,1,2018,4,3,0,2,NA,2,11,1,5,2,3,2,2,3,0,0
GLENVIEW,107600,330320,4,8,4,1,1,1,1424,424000,1,3,46,1,2018,3,1,0,2,NA,2,400,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,52270,52180,NA,NA,NA,NA,NA,NA,NA,165900,NA,NA,30,NA,2019,NA,NA,1,NA,NA,NA,101,NA,NA,NA,0,NA,NA,3,NA,NA
SCHAUMBURG,17790,105080,NA,NA,NA,NA,NA,NA,NA,175000,1,NA,20,NA,2018,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,3,NA,1
EVANSTON,28870,207530,1,6,3,1,0,0,1056,205000,1,3,66,1,2018,1,3,1,2,NA,2,220,1,5,2,1,0,2,3,0,0
EVANSTON,28870,207530,1,6,3,1,0,0,1056,205000,1,3,66,1,2018,1,3,1,2,NA,2,220,1,5,2,1,0,2,3,0,0
EVANSTON,28870,207530,1,6,3,1,0,1,1056,392500,1,3,69,1,2019,1,3,0,2,NA,2,220,1,5,2,1,0,2,3,0,NA
EVANSTON,28870,207530,1,6,3,1,0,1,1056,392500,1,3,69,1,2019,1,3,0,2,NA,2,220,1,5,2,1,0,2,3,0,NA
PALATINE,3580,225690,NA,NA,NA,NA,NA,NA,NA,265000,1,NA,6,NA,2018,NA,NA,1,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,3,NA,0
PALATINE,4950,205130,NA,NA,NA,NA,NA,NA,NA,265000,1,NA,6,NA,2018,NA,NA,1,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,3,NA,0
PALATINE,3300,158130,NA,NA,NA,NA,NA,NA,NA,265000,1,NA,6,NA,2018,NA,NA,1,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,3,NA,0
ARLINGTON HEIGHTS,10760,244820,1,6,3,1,1,1,1228,259000,2,3,22,1,2019,3,1,0,2,NA,2,40,1,5,3,0,1,2,3,0,NA
ARLINGTON HEIGHTS,9290,204480,1,6,3,1,1,1,1228,259000,2,3,22,1,2019,3,1,0,2,NA,2,40,1,5,3,0,1,2,3,0,NA
DES PLAINES,38720,140140,4,5,3,1,1,1,1100,246000,1,3,60,1,2019,3,1,0,2,NA,2,40,1,5,3,0,0,2,3,0,NA
SCHAUMBURG,42470,207590,4,6,3,1,1,1,1304,235000,1,3,53,1,2018,3,1,0,2,NA,2,40,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,42470,207590,4,6,3,1,1,1,1304,235000,1,3,53,1,2018,3,1,0,2,NA,2,40,1,5,3,NA,2,2,3,0,0
PALATINE,1380,64410,NA,NA,NA,NA,NA,NA,NA,111500,NA,NA,38,NA,2019,NA,NA,0,NA,NA,NA,70,NA,NA,NA,0,NA,NA,3,NA,NA
SKOKIE,42610,468560,2,9,6,1,1,2,3290,315000,3,3,50,1,2019,1,1,0,2,NA,2,81,1,5,3,0,2,2,3,0,NA
GLENVIEW,25350,140120,NA,NA,NA,NA,NA,NA,NA,210000,1,NA,37,NA,2018,NA,NA,1,NA,NA,NA,131,NA,NA,NA,NA,NA,NA,3,NA,0
HOFFMAN ESTATES,101140,390440,2,7,4,1,1,2,3294,466000,2,3,28,1,2019,1,3,0,2,NA,2,116,1,5,3,0,1,2,3,0,NA
